hour,el_hh_norm
2895,0.000129034
2896,0.000116314
2897,0.000112642
2898,0.000127206
2899,0.000157156
2900,0.000181646
2901,0.000173943
2902,0.000156889
2903,0.000136788
2904,0.00010288
2905,6.72546E-05
2906,5.22927E-05
2907,4.24385E-05
2908,4.02123E-05
2909,3.97853E-05
2910,4.12205E-05
2911,5.28481E-05
2912,8.08786E-05
2913,0.000113942
2914,0.000135073
2915,0.00014353
2916,0.000150164
2917,0.000159882
2918,0.000156648
2919,0.000142403
2920,0.000133027
2921,0.000131638
2922,0.000147821
2923,0.000169143
2924,0.000177885
2925,0.000158516
2926,0.000131227
2927,0.000123459
2928,0.000103999
2929,8.16892E-05
2930,5.9974E-05
2931,4.80702E-05
2932,4.40445E-05
2933,4.26794E-05
2934,4.23006E-05
2935,4.46762E-05
2936,5.98584E-05
2937,0.00010109
2938,0.000148531
2939,0.000177053
2940,0.000199165
2941,0.000202503
2942,0.000167798
2943,0.000135093
2944,0.000117418
2945,0.000104615
2946,0.000112786
2947,0.000136812
2948,0.000159035
2949,0.000153958
2950,0.000139405
2951,0.000123922
2952,9.28112E-05
2953,6.61791E-05
2954,4.90404E-05
2955,4.45376E-05
2956,4.28507E-05
2957,4.40018E-05
2958,5.29218E-05
2959,9.38847E-05
2960,0.000130139
2961,0.000137964
2962,0.000134617
2963,0.000129324
2964,0.000131324
2965,0.000146186
2966,0.00014281
2967,0.000124871
2968,0.000112561
2969,0.000109008
2970,0.000123102
2971,0.000152085
2972,0.000175786
2973,0.000168331
2974,0.000151828
2975,0.000132375
2976,9.95608E-05
2977,6.61791E-05
2978,4.90404E-05
2979,4.45376E-05
2980,4.28507E-05
2981,4.40018E-05
2982,5.29218E-05
2983,9.38847E-05
2984,0.000130139
2985,0.000137964
2986,0.000134617
2987,0.000129324
2988,0.000131324
2989,0.000146186
2990,0.00014281
2991,0.000124871
2992,0.000112561
2993,0.000109008
2994,0.000123102
2995,0.000152085
2996,0.000175786
2997,0.000168331
2998,0.000151828
2999,0.000132375
3000,9.95608E-05
3001,6.61791E-05
3002,4.90404E-05
3003,4.45376E-05
3004,4.28507E-05
